draft,lesson,block,timestamp,source,translation,score,verdict,corrected,issues
Draft 1,L2S1,116,"00:07:06,290 --> 00:07:09,710",Master these three habits and those distractors won't distract you anymore.,掌握這三個習慣，那些干擾選項就再也無法迷惑你了。,87,minor_issues,,[low] style: None
Draft 1,L2S1,117,"00:07:09,890 --> 00:07:10,870",See you in the next lesson.,下一堂課見。,100,ok,,
Draft 1,L2S2,1,"00:00:11,920 --> 00:00:13,480",Imagine you are in the exam.,想像你正在考試中。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,2,"00:00:13,740 --> 00:00:16,920","You see the question, the museum is located near the river.",你看到這個問題了，博物館位於河流附近。,100,ok,,
Draft 1,L2S2,3,"00:00:17,160 --> 00:00:21,120","You sit there waiting to hear the word located, but the speaker never says it.",你坐在那裡等待聽到 located 這個字，但講者從來沒有說出來。,87,minor_issues,,[low] style: None
Draft 1,L2S2,4,"00:00:21,340 --> 00:00:24,660","Instead, they say, you can find the museum right next to the river.",相反地，他們說，你可以在河流旁邊找到這座博物館。,100,ok,,
Draft 1,L2S2,5,"00:00:24,840 --> 00:00:29,500","Because you were waiting for the exact word, you missed the answer.",因為你一直在等待那個確切的字眼，所以錯過了答案。,100,ok,,
Draft 1,L2S2,6,"00:00:29,940 --> 00:00:32,580",This is the number one mistake in IELTS listening.,這是雅思聽力中排名第一的錯誤。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,7,"00:00:32,580 --> 00:00:34,020",Word matching.,詞彙配對。,100,ok,,
Draft 1,L2S2,8,"00:00:34,400 --> 00:00:37,760",IELTS rarely repeats the exact words from the question.,雅思考試很少會重複題目中的確切字眼。,100,ok,,
Draft 1,L2S2,9,"00:00:38,000 --> 00:00:42,060","Instead, they use paraphrasing, expressing the same meaning using different words.",相反地，他們使用轉述的方式，以不同的詞彙表達相同的意思。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,10,"00:00:42,620 --> 00:00:46,660","To get a high band score, you must stop listening for words and start listening for meaning.",要取得高分，你必須停止逐字聽，開始聆聽意義。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,11,"00:00:51,650 --> 00:00:54,490",There are three main types of paraphrasing you need to know.,你需要知道三種主要的轉述方式。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,12,"00:00:54,650 --> 00:00:56,950",The first and most common is synonyms.,第一種且最常見的是 synonyms。,70,minor_issues,第一種且最常見的是 同義詞。,[low] style: None; [medium] terminology: None; [medium] terminology: None; [low] terminology: None
Draft 1,L2S2,13,"00:00:57,110 --> 00:01:01,690",This is where the test replaces a keyword with a word that has the exact same meaning.,在此，測驗會將關鍵字替換為具有完全相同意思的詞彙。,100,ok,,
Draft 1,L2S2,14,"00:01:01,890 --> 00:01:06,510","For example, in a form completion task, the question asks for the cost of entry.",例如，在表單填寫任務中，題目會詢問入場費用。,100,ok,,
Draft 1,L2S2,15,"00:01:06,870 --> 00:01:14,330","But on the recording, you might hear, the price is $50, or the fee is $50, or maybe even you have to pay $50.",但在錄音中，你可能會聽到價格是 50 美元、費用是 50 美元，甚至可能需要支付 50 美元。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,16,"00:01:14,950 --> 00:01:17,290",All of these are synonyms for cost.,這些都是 cost 的同義詞。,77,minor_issues,這些都是 成本 的同義詞。,[medium] terminology: None; [low] terminology: None
Draft 1,L2S2,17,"00:01:18,530 --> 00:01:20,330",Let's practice this immediately.,我們現在立即練習。,100,ok,,
Draft 1,L2S2,18,"00:01:20,630 --> 00:01:23,230",I'm going to show you four common IELTS keywords.,我將為您展示四個常見的 IELTS 關鍵字。,100,ok,,
Draft 1,L2S2,19,"00:01:23,490 --> 00:01:26,970",Can you match them to the synonyms you are likely to hear in the recording?,你能將它們與你在錄音中可能會聽到的同義詞配對嗎？,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,20,"00:01:31,790 --> 00:01:32,710",Great job.,做得很好。,100,ok,,
Draft 1,L2S2,21,"00:01:33,010 --> 00:01:35,850","Now, let's move to type two, grammatical changes.",現在，讓我們進入第二種類型：語法變化。,30,needs_revision,現在，讓我們進入第二種型別：文法變化。,[high] terminology: None; [high] terminology: None; [medium] terminology: None
Draft 1,L2S2,22,"00:01:36,130 --> 00:01:39,870","Sometimes the question paper uses one part of speech, like a noun,",有時試卷會使用某種詞性，例如名詞，但說話,87,minor_issues,,[low] style: None
Draft 1,L2S2,23,"00:01:40,030 --> 00:01:42,350","but the speaker uses a different one, like a verb.",者卻使用不同的詞性，例如動詞。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S2,24,"00:01:42,530 --> 00:01:45,650","If you are only listening for the noun, you might miss the answer entirely.",如果你只專注於聽名詞，可能會完全錯過答案。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,25,"00:01:45,910 --> 00:01:49,270","You have to listen for the meaning, not just the grammar.",你必須聆聽意思，而不僅僅是語法。,30,needs_revision,你必須聆聽意思，而不僅僅是文法。,[high] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,26,"00:01:49,510 --> 00:01:50,870","For example, look at this question.",例如，請看這道題目。,100,ok,,
Draft 1,L2S2,27,"00:01:51,050 --> 00:01:53,630",It asks for the cost of something.,它詢問某物的費用。,100,ok,,
Draft 1,L2S2,28,"00:01:53,890 --> 00:01:57,330","You are expecting to hear a noun, like construction, but the speaker",你預期會聽到名詞，例如 construction，但說話者可能不會使用,70,minor_issues,,[low] style: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,29,"00:01:57,330 --> 00:01:59,470","might not use the noun, construction.",construction 這個名詞。,100,ok,,
Draft 1,L2S2,30,"00:02:00,230 --> 00:02:02,450","They might use the verb, constructed.",他們可能會使用動詞 constructed。,100,ok,,
Draft 1,L2S2,31,"00:02:03,150 --> 00:02:06,550","They might say, it was constructed for $2 million.",他們可能會說，它是為 200 萬美元建造的 constructed。,87,minor_issues,,[low] typo: None
Draft 1,L2S2,32,"00:02:07,509 --> 00:02:08,190",Did you hear that?,你聽見了嗎？,100,ok,,
Draft 1,L2S2,33,"00:02:08,729 --> 00:02:14,630","The question said, construction, noun, but the speaker said, constructed, verb.",題目說的是 construction、noun，但說話者說的是 constructed，動詞。,70,minor_issues,題目說的是 construction、名詞，但說話者說的是 constructed，動詞。,[low] style: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,34,"00:02:15,250 --> 00:02:17,830","If you were waiting for the word construction, you missed it.",如果你是在等這個字 construction，那你就錯過了。,100,ok,,
Draft 1,L2S2,35,"00:02:18,070 --> 00:02:21,570",This tests your ability to match the verb you hear to the noun on the page.,這將測驗你將聽到的動詞與頁面中的名詞進行配對的能力。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L2S2,36,"00:02:26,850 --> 00:02:29,810","The third type is the most difficult, rephrasing.",第三種類型是最困難的，即 rephrasing（改述）。,45,needs_revision,第三種型別是最困難的，即 rephrasing（改述）。,[high] terminology: None
Draft 1,L2S2,37,"00:02:29,810 --> 00:02:32,950",This is where the speaker doesn't use a synonym or a grammar,這是指說話者不使用同義詞或語法變化，,32,needs_revision,這是指說話者不使用同義詞或文法變化，,[high] terminology: None; [low] style: None; [medium] terminology: None
Draft 1,L2S2,38,"00:02:32,950 --> 00:02:36,790","change, but describes the idea or the situation completely differently.",而是完全以不同的方式來描述該想法或情境。,100,ok,,
Draft 1,L2S2,39,"00:02:37,050 --> 00:02:40,310",They often move from specific examples to general categories.,他們經常從具體的範例過渡到一般的類別。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,40,"00:02:40,550 --> 00:02:44,090","For instance, you might see a multiple-choice answer option that says bad weather.",例如，您可能會看到一個多選答案選項標示為 bad weather。,45,needs_revision,例如，您可能會看到一個多選答案選項標示為 惡劣天氣。,[high] meaning_drift: None
Draft 1,L2S2,41,"00:02:44,350 --> 00:02:46,910",You will almost never hear the words bad weather in the recording.,在錄音中，您幾乎聽不到「bad weather」這兩個字。,87,minor_issues,,[low] style: None
Draft 1,L2S2,42,"00:02:47,130 --> 00:02:50,350","Instead, you might hear, we couldn't take off due to the heavy fog and snow.",相反地，您可能會聽到這樣的說法：我們無法起飛，因為霧雪太大。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,43,"00:02:50,570 --> 00:02:55,390","Here, fog and snow are specific examples of the general category, bad weather.",這裡的霧和雪是 bad weather 這個一般類別的具體範例。,35,needs_revision,這裡的霧和雪是 壞天氣 這個一般類別的具體範例。,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S2,44,"00:03:00,480 --> 00:03:04,860","So, to maximize your listening score, you need to stop acting like",因此，要最大化您的聽力分數，您需要停止像,80,minor_issues,,[medium] terminology: None
Draft 1,L2S2,45,"00:03:04,860 --> 00:03:09,140",a robot matching words and start thinking like a translator matching meanings.,機器人一樣匹配字詞，並開始像譯者一樣匹配意義。,74,minor_issues,機器人比對字詞，並開始像譯者一樣比對意義。,[low] style: None; [medium] terminology: None; [low] collocation: None
Draft 1,L2S2,46,"00:03:09,360 --> 00:03:14,500","Remember the three levels of paraphrasing we just covered, synonyms, grammar, and rephrasing.",記住我們剛剛講過的三種改寫層次：synonyms、grammar 和 rephrasing。,70,minor_issues,記住我們剛剛講過的三種改寫層次：同義詞、grammar 和 改述。,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S2,47,"00:03:14,680 --> 00:03:20,140","With lots of training, you can learn to recognize paraphrase like a pro and improve your IELTS band score.",透過大量練習，您可以像專業人士一樣辨識改寫方式，並提升您的 IELTS 分數。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,1,"00:00:11,670 --> 00:00:16,390","The biggest fear in IELTS listening isn't that you won't understand a word,",在 IELTS 聽力測驗中，最大的恐懼不是聽不懂單字，,100,ok,,
Draft 1,L2S3,2,"00:00:16,390 --> 00:00:20,390","it's that you will miss one answer, panic, and then miss the next three.",而是漏掉一題答案後陷入恐慌，進而連續錯掉接下來三題。,100,ok,,
Draft 1,L2S3,3,"00:00:20,650 --> 00:00:22,450",We call this the domino effect.,我們將此稱為 domino effect。,77,minor_issues,我們將此稱為 多米諾骨牌效應。,[medium] terminology: None; [low] style: None
Draft 1,L2S3,4,"00:00:22,710 --> 00:00:28,410","The audio feels fast, not because the speakers are rushing, but because your brain is multitasking.",聽起來語速很快，並不是因為說話的人講得太急，而是因為您的大腦正在同時處理多項任務。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,5,"00:00:28,650 --> 00:00:34,710","You are reading the next question, remembering the last one, writing an answer, and listening, all at the same time.",您正在閱讀下一題、回想上一題、寫下答案，並同時聆聽。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,6,"00:00:35,010 --> 00:00:37,870",If you stop for just two seconds to think about a missed,如果您為了思考錯過的題目而停頓兩,30,needs_revision,如果您為了思考錯過的題目而停頓兩秒,[medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S3,7,"00:00:37,870 --> 00:00:41,070","answer, your brain stops listening to the new stream of information.",秒，您的大腦就會停止接收新的資訊流。,35,needs_revision,接著，您的大腦就會停止接收新的資訊流。,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S3,8,"00:00:41,370 --> 00:00:45,450","You fall behind, and once you are behind, it is almost impossible to catch up.",如果您落後，一旦落後，要追上去幾乎是不可能的。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S3,9,"00:00:45,630 --> 00:00:49,110","Today, we are going to learn how to stop the dominoes from falling.",今天，我們將學習如何防止多米諾骨牌倒下。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,10,"00:00:54,490 --> 00:00:57,490","The first technique is psychological, the drop-it rule.",第一種技巧是心理層面的，即「放下法則」(drop-it rule)。,100,ok,,
Draft 1,L2S3,11,"00:00:57,890 --> 00:00:59,930",Imagine you are trying to answer question four.,假設您正在嘗試回答第四題。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,12,"00:01:00,090 --> 00:01:02,090","You aren't sure, you are hesitating.",您不確定，正在猶豫。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,13,"00:01:02,430 --> 00:01:06,030","Meanwhile, the speaker has already started talking about question five.",與此同時，講者已經開始談論第五題了。,87,minor_issues,,[low] style: None
Draft 1,L2S3,14,"00:01:06,470 --> 00:01:07,170",What should you do?,您應該怎麼做？,100,ok,,
Draft 1,L2S3,15,"00:01:07,670 --> 00:01:10,210",Most students try to hold on to question four.,大多數學生會試圖死守第四題。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,16,"00:01:10,690 --> 00:01:16,070","They think, I almost have it, but while they struggle, they miss question five and six.",他們心想，我快答對了，但在他們苦思之際，卻錯過了第五題和第六題。,87,minor_issues,,[low] style: None
Draft 1,L2S3,17,"00:01:16,490 --> 00:01:18,170",You must make a cold calculation.,您必須進行冷靜的計算。,100,ok,,
Draft 1,L2S3,18,"00:01:18,870 --> 00:01:22,350",It is better to sacrifice one point to save three points.,犧牲一分來保住三分會更好。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,19,"00:01:22,770 --> 00:01:25,970","If the speaker moves on, you must move on immediately.",如果講師繼續進行，您也必須立即跟上。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S3,20,"00:01:26,430 --> 00:01:27,910",Let's test your reflexes.,讓我們測驗一下您的反應。,100,ok,,
Draft 1,L2S3,21,"00:01:28,170 --> 00:01:29,870",You are stuck on question 12.,您卡在第十二題了。,35,needs_revision,,[medium] terminology: None; [high] placeholder: None
Draft 1,L2S3,22,"00:01:30,270 --> 00:01:32,870","Suddenly, you hear the keyword for question 13.",突然間，你聽到第 13 題的關鍵字。,87,minor_issues,,[low] style: None
Draft 1,L2S3,23,"00:01:33,210 --> 00:01:34,830",What is the only safe move?,唯一的安全做法是什麼？,100,ok,,
Draft 1,L2S3,24,"00:01:36,230 --> 00:01:37,190",The answer is B.,答案是 B。,100,ok,,
Draft 1,L2S3,25,"00:01:37,370 --> 00:01:39,810",Even a quick guess takes mental energy.,即使只是快速猜測，也會消耗腦力。,87,minor_issues,,[low] style: None
Draft 1,L2S3,26,"00:01:40,090 --> 00:01:43,810","If the speaker has moved to the library, your eyes must be on the library.",如果說話者已移動到圖書館，您的視線必須鎖定在圖書館。,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L2S3,27,"00:01:44,090 --> 00:01:47,050",Forget about question 12 and focus on the next question.,別管第 12 題，著重於下一題。,100,ok,,
Draft 1,L2S3,28,"00:01:51,950 --> 00:01:53,930",But what if you get completely lost?,但如果完全迷路了呢？,100,ok,,
Draft 1,L2S3,29,"00:01:54,670 --> 00:01:57,530","You dropped a question, but you don't know where the speaker is anymore.",你漏掉了一道題，但現在已經不清楚說話者是在哪裡提到的了。,70,minor_issues,,[low] style: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,30,"00:01:58,030 --> 00:02:00,710",This is where you need signposting language.,這裡需要使用引導語（signposting language）。,35,needs_revision,這裡需要使用引導言（signposting language）。,[high] terminology: None; [medium] terminology: None
Draft 1,L2S3,31,"00:02:01,210 --> 00:02:04,810",Speakers use specific words to signal that they are changing topics.,演講者會使用特定的詞彙來表示他們正在轉換話題。,87,minor_issues,,[low] style: None
Draft 1,L2S3,32,"00:02:05,230 --> 00:02:06,370",These are your GPS.,這些是你的 GPS。,100,ok,,
Draft 1,L2S3,33,"00:02:07,110 --> 00:02:13,310","Words like now, moving on to, on the other hand, or finally tell you exactly which question they are addressing.",像 now、moving on to、on the other hand 或 finally 這類詞彙，能清楚告訴你正在回答哪一道題目。,70,minor_issues,像 現在、接下來、另一方面 或 最後 這類詞彙，能清楚告訴你正在回答哪一道題目。,[medium] terminology: None; [medium] terminology: None; [low] style: None; [low] style: None; [low] style: None; [low] style: None
Draft 1,L2S3,34,"00:02:13,830 --> 00:02:14,730",Listen to this clip.,聽聽這段錄音。,100,ok,,
Draft 1,L2S3,35,"00:02:15,170 --> 00:02:18,170",The speaker uses a signpost word to shift topics.,講者使用路標詞來轉換話題。,84,minor_issues,講者使用引導詞來轉換話題。,[low] style: None; [low] terminology: None
Draft 1,L2S3,36,"00:02:18,590 --> 00:02:19,490",Where are we now?,我們現在到哪裡了？,100,ok,,
Draft 1,L2S3,37,"00:02:21,130 --> 00:02:23,410",The history of the castle is fascinating.,這座城堡的歷史十分迷人。,100,ok,,
Draft 1,L2S3,38,"00:02:23,750 --> 00:02:25,930","However, most visitors come for the gardens.",不過，大多數遊客是來參觀花園的。,100,ok,,
Draft 1,L2S3,39,"00:02:26,850 --> 00:02:28,850",The signpost was however.,然而，指標牌不在那裡。,42,needs_revision,路標卻不見了。,[low] style: None; [high] meaning_drift: None
Draft 1,L2S3,40,"00:02:29,230 --> 00:02:31,390",This signaled a shift from history to the gardens.,這標誌著從歷史轉向花園。,100,ok,,
Draft 1,L2S3,41,"00:02:31,710 --> 00:02:34,430","If you were lost on the history question, this word tells you",如果你在這題 history 答錯，這個詞會告訴你,100,ok,,
Draft 1,L2S3,42,"00:02:34,430 --> 00:02:36,830",to jump immediately to the gardens question.,立刻跳到 gardens 的題目。,80,minor_issues,立刻跳到 花園 的題目。,[medium] terminology: None
Draft 1,L2S3,43,"00:02:41,940 --> 00:02:43,960","Finally, let's talk about writing speed.",最後，我們來談談寫作速度。,100,ok,,
Draft 1,L2S3,44,"00:02:44,560 --> 00:02:47,500",Sometimes you fall behind simply because your hand is too slow.,有時你落後，只是因為你的手太慢。,100,ok,,
Draft 1,L2S3,45,"00:02:48,140 --> 00:02:52,240",Writing long words like environment or necessary takes precious seconds.,寫像 environment 或 necessary 這類長詞會浪費寶貴的時間。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,46,"00:02:52,820 --> 00:02:55,060","During the audio, do not write the full word.",在聽力練習期間，請勿寫下完整單字。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,47,"00:02:55,500 --> 00:02:56,540",Use abbreviations.,使用縮寫。,100,ok,,
Draft 1,L2S3,48,"00:02:57,000 --> 00:02:59,820",You have 10 minutes at the end of the test to transfer your answers.,測驗結束前，您有 10 分鐘的時間用於填寫答案。,35,needs_revision,測驗結束後，您有 10 分鐘的時間用於填寫答案。,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S3,49,"00:03:00,280 --> 00:03:02,820",That is when you check your spelling and write the full word.,這時你就要檢查拼法並寫下完整單字。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,50,"00:03:03,080 --> 00:03:05,860","During the listening, just get the idea down and keep moving.",在聽力練習期間，只需掌握大意並繼續往下進行。,100,ok,,
Draft 1,L2S3,51,"00:03:06,300 --> 00:03:08,440","Based on this strategy, answer this.",根據此策略作答。,100,ok,,
Draft 1,L2S3,52,"00:03:08,800 --> 00:03:11,980",Should you worry about perfect spelling while the audio is playing?,在音檔播放期間，你該擔心拼法是否完美嗎？,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L2S3,53,"00:03:14,190 --> 00:03:14,610",False.,錯誤。,100,ok,,
Draft 1,L2S3,54,"00:03:14,950 --> 00:03:16,630",Your priority is capturing the answer.,你的優先事項是捕捉答案。,100,ok,,
Draft 1,L2S3,55,"00:03:17,030 --> 00:03:18,730",Spelling is for the transfer time.,拼寫練習用於轉換時間。,35,needs_revision,拼寫用於轉換時間。,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L2S3,56,"00:03:23,990 --> 00:03:26,550",Speed management is about keeping your brain free.,速度管理的重點在於保持大腦清醒。,80,minor_issues,,[medium] terminology: None
Draft 1,L2S3,57,"00:03:26,750 --> 00:03:28,150",Let's review our key ideas.,讓我們複習重點概念。,100,ok,,
Draft 1,L2S3,58,"00:03:28,370 --> 00:03:29,930","First, if you miss it, drop it.",首先，如果沒聽懂就放掉它。,87,minor_issues,,[low] style: None
Draft 1,L2S3,59,"00:03:30,070 --> 00:03:32,890","Second, if you get lost, listen for signposts.",第二，如果聽不懂，就留意路標。,45,needs_revision,第二，如果迷路，就留意路標。,[high] meaning_drift: None
Draft 1,L2S3,60,"00:03:33,010 --> 00:03:35,290","Finally, if it's a long word, abbreviate.",最後，如果是長字詞，請縮寫。,100,ok,,
Draft 1,L2S3,61,"00:03:35,430 --> 00:03:37,950",Keep moving forward and you will make it to the end.,繼續前進，你就能到達終點。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L4S2,1,"00:00:05,020 --> 00:00:15,129","Hey guys, welcome back to our listening course.",嘿，大家好，歡迎回到我們的 listening course。,77,minor_issues,嘿，大家好，歡迎回到我們的 聽力課程。,[medium] terminology: None; [low] terminology: None
Draft 1,L4S2,2,"00:00:15,470 --> 00:00:18,750",Today we'll explore a learning method that helps,今天我們將探討一種學習方法，幫,45,needs_revision,今天我們將探討一種學習方法，幫助,[high] meaning_drift: None
Draft 1,L4S2,3,"00:00:18,750 --> 00:00:23,550",maximize your listening scores for the first question type: Completion.,助您最大化聽力測驗中第一題型的分數：填空題。,100,ok,,
Draft 1,L4S2,4,"00:00:24,010 --> 00:00:32,750","This question has four main types, form completion, table completion, sentence completion, and summary completion.",本題型共有四種主要類型：表單填寫、表格填寫、句子填寫與摘要填空。,30,needs_revision,本題型共有四種主要型別：表單填寫、表格填寫、句子填寫與摘要填空。,[high] terminology: None; [medium] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L4S2,5,"00:00:32,750 --> 00:00:35,710","In this video, we'll get to know two",在本影片中，我們將認識兩位,100,ok,,
Draft 1,L4S2,6,"00:00:35,710 --> 00:00:40,550","question types, form completion and table completion,",題型，包含表單填寫與表格填寫，這,30,needs_revision,,[medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,7,"00:00:40,550 --> 00:00:43,150",which often appear in part one of the listening test.,些通常出現在聽力測驗的第一部分。,87,minor_issues,這通常出現在聽力測驗的第一部分。,[low] grammar: None
Draft 1,L4S2,8,"00:00:43,650 --> 00:00:46,870",They are considered the easiest types to boost the listening score.,它們被視為最容易提升聽力分數的題型。,100,ok,,
Draft 1,L4S2,9,"00:00:48,050 --> 00:00:53,810","For this type of question, the missing information that needs filling in can be names of",此類題型的填空資訊可包含地點與人名、時間、日,30,needs_revision,此類題型中，需要補充的缺失資訊可能是以下名稱：,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,10,"00:00:53,810 --> 00:00:59,650","places and people, time, date, hour, phone number, and house address.",期、時鐘時間、電話號碼及住宅地址。,45,needs_revision,,[high] meaning_drift: None
Draft 1,L4S2,11,"00:00:59,650 --> 00:01:07,560","To handle this question type, we'll have six steps to follow.",要應付此種題型，我們需遵循六個步驟。,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,12,"00:01:08,580 --> 00:01:12,540","Step one, read the instructions carefully and note",第一步：仔細閱讀說明，並注意字,30,needs_revision,第一步：仔細閱讀說明，並注意重點,[medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,13,"00:01:12,540 --> 00:01:13,960",the word and number limit.,數與數字限制。,30,needs_revision,數與數位限制。,[high] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,14,"00:01:14,360 --> 00:01:17,280","The instruction says, write no more than three words",指示說明：每個答案請勿超過三,42,needs_revision,請不要寫超過三個字個字,[high] meaning_drift: None; [low] missing_content: None
Draft 1,L4S2,15,"00:01:17,280 --> 00:01:20,240",and or a number for each answer.,個字詞或一個數字。,30,needs_revision,個字詞或一個數位。,[high] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,16,"00:01:20,540 --> 00:01:24,020",This means the answer to be filled in is no more than three words and a number.,這表示所填寫的答案不得超過三個字詞和一個數字。,45,needs_revision,這表示所填寫的答案不得超過三個字詞和一個數位。,[high] terminology: None
Draft 1,L4S2,17,"00:01:24,380 --> 00:01:26,060",If you use more or less than the,若使用的字數多於或少於,87,minor_issues,若使用超過或少於,[low] collocation: None
Draft 1,L4S2,18,"00:01:26,060 --> 00:01:29,200","word limit, your answer will be marked as incorrect.",字數限制，您的答案將被標記為錯誤。,100,ok,,
Draft 1,L4S2,19,"00:01:29,420 --> 00:01:32,560",So check the word limit carefully for each question.,請仔細檢查每題的字數限制。,100,ok,,
Draft 1,L4S2,20,"00:01:33,440 --> 00:01:36,420","Step two, read the title to identify",第二步，閱讀標題以識別,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,21,"00:01:36,420 --> 00:01:38,620",the information we need to focus on.,我們需要著重的資訊。,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,22,"00:01:38,780 --> 00:01:41,480","Here, the title of this question is Karate",在此，本題的標題為 Karate,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,23,"00:01:41,480 --> 00:01:44,880","Center Registration Form, so we can predict that",報名表格，藉此推測內容,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L4S2,24,"00:01:44,880 --> 00:01:48,220",the content is about signing up for karate classes.,與報名空手道課程有關。,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,25,"00:01:49,120 --> 00:01:51,660","Step three, underline keywords.",第三步，標註關鍵字。,35,needs_revision,第三步，畫線關鍵字。,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,26,"00:01:52,240 --> 00:01:56,520","In the previous lesson, we already learned how to identify keywords.",在上一堂課中，我們已經學會如何識別關鍵字。,100,ok,,
Draft 1,L4S2,27,"00:01:57,040 --> 00:01:59,920",Keywords are words that play an important part,關鍵字是在句子中扮演重要角,35,needs_revision,關鍵字是在句子中扮演重要的角色,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,28,"00:01:59,920 --> 00:02:03,540","in a sentence, carrying the main content of that sentence.",色的詞彙，承載著該句子的主要內容。,39,needs_revision,詞彙，承載該句的主要內容。,[high] meaning_drift: None; [low] collocation: None; [low] style: None
Draft 1,L4S2,29,"00:02:04,270 --> 00:02:08,180","Keywords are often nouns, verbs, and adjectives, and",關鍵字通常是名詞、動詞和形容詞，而非介系詞,42,needs_revision,,[high] meaning_drift: None; [low] typo: None
Draft 1,L4S2,30,"00:02:08,180 --> 00:02:16,380","not prepositions such as to, from, and at, or articles such as a, an, and the.",如 to、from 和 at，或冠詞如 a、an 和 the。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L4S2,31,"00:02:16,820 --> 00:02:18,820",So what are the keywords in this form?,那麼，這份表單中的關鍵字為何？,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,32,"00:02:19,300 --> 00:02:23,160","First, the keyword is in the title Karate and Registration.",首先，關鍵字位於標題「Karate」和「Registration」中。,80,minor_issues,,[medium] terminology: None
Draft 1,L4S2,33,"00:02:23,420 --> 00:02:27,800","Other keywords are name, date of birth, address,",其他關鍵字包括 name、date of birth、address、phon,30,needs_revision,其他關鍵字包括 name、出生日期、地址、phon,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L4S2,34,"00:02:28,180 --> 00:02:30,780","phone number, experience, and medical.",e number、experience 和 medical。,30,needs_revision,電話號碼、經驗 和 醫療。,[medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None; [low] script: None; [low] script: None
Draft 1,L4S2,35,"00:02:31,180 --> 00:02:37,240","In the last sentence, the keywords are how, you, here, us.",在最後一句中，關鍵字是 how、you、here、us。,80,minor_issues,,[medium] terminology: None
